Map,day,month,year,time,mean_flight,mean_mad,mean_station,mean_solar,Diff st-flight,diff too big,train,test,validation
Zeelim_29.5.19_0830,29,5,19,830,37.1664736,1.73639029,38.84,648.6872803,1.6735264,0,1,0,1
Zeelim_29.5.19_1650,29,5,19,1650,47.3348316,1.091990801,45.63,253.306012,-1.7048316,0,1,0,1
Zeelim_29.5.19_1730,29,5,19,1730,41.9281604,0.859453042,41.62,124.1923615,-0.3081604,0,1,0,1
Zeelim_30.5.19_0600,30,5,19,600,29.7374314,0.361642881,30.75,202.0089478,1.0125686,0,1,0,0
Zeelim_30.5.19_0630,30,5,19,630,31.5544242,0.697694796,32.04,248.3548553,0.4855758,0,1,0,0
Zeelim_18.9.19_0900,18,9,19,900,44.2791408,1.237408784,38.35,637.1055298,-5.9291408,0,1,0,0
Zeelim_18.9.19_1200,18,9,19,1200,47.727372,1.35447769,50.29,849.1608276,2.562628,0,1,0,0
Zeelim_18.9.19_1300,18,9,19,1300,48.544938,1.188572886,51.55,798.4275757,3.005062,0,1,0,0
Zeelim_18.9.19_1400,18,9,19,1400,46.8599316,1.093179983,50.1,657.8672119,3.2400684,0,1,0,0
Zeelim_18.9.19_1500,18,9,19,1500,45.1066616,0.854563602,47.55,478.665564,2.4433384,0,1,0,0
Zeelim_18.9.19_1720,18,9,19,1720,37.409867,0.561402887,36.45,25.80639954,-0.959867,0,1,0,0
Zeelim_23.9.19_0610,23,9,19,610,27.8663274,0.452118961,25.94,107.1962097,-1.9263274,0,0,1,0
Zeelim_23.9.19_0700,23,9,19,700,29.1606054,0.771200839,30.52,266.440921,1.3593946,0,0,1,0
Zeelim_23.9.19_0800,23,9,19,800,34.1030566,1.194675174,36.3,494.4552063,2.1969434,0,0,1,0
Zeelim_23.9.19_0950,23,9,19,950,41.3599842,1.297797517,46.45,813.0949219,5.0900158,0,0,1,0
Zeelim_23.9.19_1410,23,9,19,1410,45.3618956,1.61303016,48.2,629.9967285,2.8381044,0,0,1,0
Zeelim_23.9.19_1510,23,9,19,1510,43.8347502,1.377952544,45.21,405.0901062,1.3752498,0,0,1,0
Zeelim_23.9.19_1610,23,9,19,1610,40.3756022,1.385353703,40.85,217.8025269,0.4743978,0,0,1,0
Zeelim_23.9.19_1700,23,9,19,1700,36.6132506,0.804115465,34.98,37.65384369,-1.6332506,0,0,1,0
Zeelim_7.11.19_1030,7,11,19,1030,36.5877148,1.374000013,34.38,636.7430542,-2.2077148,0,1,0,1
Zeelim_7.11.19_1100,7,11,19,1100,38.1444322,1.591022357,35.76,661.299646,-2.3844322,0,1,0,1
Zeelim_7.11.19_1310,7,11,19,1310,39.2598102,1.532922639,37.31,549.1094971,-1.9498102,0,1,0,1
Zeelim_7.11.19_1550,7,11,19,1550,31.3930534,1.269840343,30,68.40010529,-1.3930534,0,1,0,1
Zeelim_7.11.19_1640,7,11,19,1640,28.7774212,1.103527829,27.74,20.80904922,-1.0374212,0,1,0,1
Zeelim_30.1.20_0810,30,1,20,810,16.0332334,0.77768445,15.36,249.0878967,-0.6732334,0,1,0,0
Zeelim_30.1.20_0920,30,1,20,920,17.6274014,1.30174971,20.66,474.9634583,3.0325986,0,1,0,0
Zeelim_30.1.20_0950,30,1,20,950,20.5919098,1.248091924,22.93,541.1060669,2.3380902,0,1,0,0
Zeelim_30.1.20_1050,30,1,20,1050,25.2474172,1.084270337,28.11,666.7645996,2.8625828,0,1,0,0
Zeelim_30.1.20_1200,30,1,20,1200,27.8709776,1.486935393,30.62,721.3049194,2.7490224,0,1,0,0
Zeelim_30.1.20_1300,30,1,20,1300,29.196852,1.661081304,30.41,688.8460205,1.213148,0,1,0,0
Zeelim_30.1.20_1350,30,1,20,1350,26.4070764,1.594184593,30.59,600.3239014,4.1829236,0,1,0,0
Zeelim_30.1.20_1449,30,1,20,1449,23.4515044,1.456273744,28.78,421.545105,5.3284956,0,1,0,0
Zeelim_30.1.20_1523,30,1,20,1523,23.324325,1.335410231,26.34,318.1174011,3.015675,0,1,0,0
Zeelim_12.04.21_1118,12,4,21,1118,28.4572134,1.161701057,28.76,1007.809924,0.3027866,0,0,1,0
Zeelim_10.05.21_1056,10,5,21,1056,41.4929308,1.116300433,47.72,938.3638428,6.2270692,1,0,0,0
Zeelim_10.05.21_1156,10,5,21,1156,42.8629906,1.065263183,49.93,948.8002808,7.0670094,1,0,0,0
Zeelim_31.05.21_0611,31,5,21,611,20.594814,0.786252036,26.77,21.01774826,6.175186,1,0,0,0
Zeelim_31.05.21_0707,31,5,21,707,26.0738442,0.974398828,32.5,379.7623352,6.4261558,1,0,0,0
Zeelim_31.05.21_0819,31,5,21,819,33.365695,1.213208213,41.77,660.2784546,8.404305,1,0,0,0
Zeelim_31.05.21_0924,31,5,21,924,38.6377118,0.981391722,47.48,837.3923096,8.8422882,1,0,0,0
Zeelim_31.05.21_1033,31,5,21,1033,42.118354,1.151768455,52.36,949.6724731,10.241646,1,0,0,0
Zeelim_31.05.21_1140,31,5,21,1140,45.6319458,1.099295929,55.09,972.6534912,9.4580542,1,0,0,0
Zeelim_31.05.21_1516,31,5,21,1516,44.6718044,1.130196888,48.35,561.4501709,3.6781956,0,0,1,0
Zeelim_31.05.21_1712,31,5,21,1712,36.5529158,0.722562105,40.34,162.8356445,3.7870842,0,0,1,0
Zeelim_31.05.21_1805,31,5,21,1805,32.762613,0.564698548,36.71,50.00205383,3.947387,0,0,1,0
